budget,popularity,runtime,size_of_cast,number_of_spoken_languages,num_production_companies,genre_Count,release_year
5000000,8.405672,124.0,15.0,3.0,5.0,3,1980
2200000,9.094477,92.0,10.0,1.0,1.0,4,1985
722083,0.817488,120.0,13.0,1.0,1.0,3,2014
8000000,6.963023,113.0,19.0,1.0,3.0,1,1980
30000000,12.130803,84.0,23.0,1.0,2.0,2,2006
110000000,20.547925,114.0,23.0,4.0,2.0,3,2015
65000000,18.860681,123.0,23.0,1.0,6.0,3,2004
25000000,6.196929,114.0,26.0,1.0,1.0,4,2011
150000000,4.351756,150.0,6.0,1.0,2.0,2,2009
120000000,7.888013,119.0,20.0,1.0,1.0,2,2011
6000000,0.292296,110.0,58.0,1.0,6.0,3,2007
1200000,4.928139,85.0,33.0,1.0,3.0,2,1999
12000000,12.01334,103.0,11.0,2.0,3.0,1,2008
6000000,1.822246,99.0,31.0,1.0,3.0,2,2012
35000000,13.955376,91.0,32.0,1.0,11.0,4,2002
30000000,9.524298,104.0,10.0,1.0,1.0,2,2012
7000000,14.054862,96.0,69.0,1.0,7.0,3,1988
40000000,10.855502,121.0,16.0,1.0,1.0,2,2013
80000000,11.341084,102.0,14.0,1.0,1.0,2,2011
6000000,5.253453,92.0,18.0,2.0,5.0,1,1977
30000000,13.413895,130.0,9.0,2.0,1.0,3,2011
38000000,10.307277,90.0,21.0,1.0,7.0,2,2006
55000000,5.304043,100.0,42.0,1.0,5.0,4,1997
30000000,7.575696,112.0,58.0,2.0,8.0,3,2010
85000000,7.680762,145.0,38.0,1.0,6.0,3,2005
11000000,9.003792,94.0,21.0,1.0,3.0,3,2013
35000000,6.332878,102.0,10.0,1.0,3.0,2,2009
5700000,8.075698,110.0,25.0,1.0,3.0,3,2009
250000,4.281631,99.0,40.0,3.0,2.0,3,2013
11000000,9.056173,94.0,13.0,3.0,1.0,5,2015
1200000,6.486117,99.0,18.0,1.0,6.0,2,1955
6000000,0.651625,82.0,18.0,2.0,9.0,2,2000
8000000,7.030308,122.0,18.0,1.0,4.0,2,2011
16000000,6.62363,114.0,18.0,1.0,7.0,3,2008
35000000,7.759429,96.0,29.0,2.0,1.0,4,2012
23000000,5.307984,98.0,14.0,1.0,5.0,2,1996
20000000,14.753931,115.0,14.0,2.0,3.0,3,2008
37000000,7.387171,115.0,11.0,1.0,1.0,4,2001
12000000,4.926507,116.0,6.0,2.0,2.0,4,2006
3800000,10.083019,122.0,10.0,3.0,6.0,3,2007
325000,0.867549,118.0,9.0,1.0,4.0,1,2016
2883848,11.845107,122.0,13.0,2.0,1.0,2,1959
800000,7.271526,100.0,5.0,2.0,1.0,2,2009
116000000,7.240753,108.0,17.0,3.0,6.0,1,1997
20000000,5.762343,105.0,14.0,1.0,2.0,3,2003
21000000,5.484379,91.0,16.0,1.0,1.0,1,2011
55000000,7.991168,125.0,18.0,2.0,1.0,2,2006
5000000,10.996308,83.0,16.0,1.0,1.0,1,2011
44000000,9.198283,147.0,8.0,1.0,1.0,1,1996
31000000,10.163266,118.0,19.0,1.0,3.0,1,2000
165000000,13.697597,108.0,24.0,1.0,3.0,2,2012
50000000,7.579855,83.0,32.0,2.0,3.0,4,2014
190000000,22.296076,130.0,17.0,3.0,4.0,2,2015
85000000,11.526339,85.0,15.0,1.0,1.0,4,2007
62000000,10.618141,137.0,22.0,1.0,6.0,4,1997
55000000,12.202063,116.0,20.0,1.0,4.0,3,1996
50000000,16.075615,116.0,14.0,1.0,1.0,2,2016
125000000,16.83711,92.0,12.0,1.0,1.0,1,2016
45000000,9.510762,111.0,22.0,1.0,4.0,4,2000
27000000,4.631978,117.0,7.0,1.0,4.0,3,2008
3000000,0.129004,94.0,13.0,3.0,1.0,3,2004
30000000,8.047735,111.0,10.0,1.0,1.0,2,2013
70000000,11.898185,99.0,20.0,3.0,4.0,1,1998
11000000,4.890067,86.0,12.0,2.0,3.0,2,2001
13000000,14.017754,132.0,25.0,1.0,3.0,3,2016
13000000,8.611077,94.0,9.0,1.0,1.0,3,2013
15000000,14.421528,103.0,24.0,1.0,1.0,2,2016
40000000,14.840318,119.0,8.0,1.0,1.0,3,2001
40000000,12.637158,128.0,33.0,2.0,5.0,5,1993
2800000,8.173864,87.0,6.0,2.0,2.0,2,1981
700000,0.712844,85.0,42.0,2.0,4.0,3,2009
3000000,1.017103,80.0,19.0,1.0,2.0,2,2007
32000000,13.332387,155.0,66.0,1.0,1.0,3,2013
24000000,6.562982,89.0,17.0,2.0,4.0,2,2011
270000000,13.284712,154.0,31.0,2.0,1.0,3,2006
46000000,7.420019,99.0,14.0,1.0,3.0,2,2000
25000000,11.746053,104.0,7.0,1.0,3.0,2,2012
60000000,8.259952,87.0,14.0,1.0,1.0,4,2011
30000000,6.212898,98.0,16.0,1.0,4.0,1,2010
13000000,6.361343,129.0,23.0,2.0,5.0,3,2005
5000000,13.336773,97.0,18.0,1.0,4.0,1,2009
38000000,8.450799,96.0,42.0,1.0,2.0,2,2009
645180,5.841931,103.0,15.0,1.0,6.0,1,1989
250000,0.386717,97.0,80.0,1.0,4.0,3,2010
22500000,9.615664,112.0,13.0,1.0,6.0,1,2014
5200000,6.700173,99.0,13.0,1.0,1.0,1,1990
26000000,12.638573,90.0,11.0,1.0,2.0,2,2003
3500000,6.488277,72.0,47.0,1.0,1.0,1,2016
10000000,12.928712,129.0,10.0,2.0,1.0,2,2017
2410000,9.110348,100.0,12.0,1.0,2.0,4,1985
18000000,7.69684,94.0,16.0,1.0,1.0,4,2014
5000000,0.619657,94.0,27.0,1.0,2.0,1,1970
5000000,7.007993,91.0,17.0,1.0,1.0,2,2010
60000000,8.905732,127.0,20.0,1.0,3.0,3,2009
22000000,10.77166,97.0,15.0,3.0,3.0,4,2007
25000000,11.299673,170.0,18.0,2.0,5.0,1,1983
40000000,9.530278,135.0,54.0,3.0,3.0,3,2005
13000000,2.62835,95.0,14.0,1.0,1.0,3,1991
800000,2.46167,105.0,22.0,1.0,2.0,1,1965
4361898,2.873356,92.0,15.0,1.0,1.0,5,2003
3500000,6.097684,103.0,17.0,3.0,1.0,3,2010
116000000,9.86738,170.0,8.0,3.0,1.0,3,2004
8000000,8.172013,101.0,21.0,1.0,3.0,2,2010
950000,9.62025,103.0,32.0,1.0,5.0,4,2005
5000000,1.792402,125.0,26.0,1.0,5.0,2,2007
4200000,8.803869,114.0,18.0,1.0,3.0,1,2004
50000000,10.337211,88.0,23.0,1.0,3.0,2,2013
35000000,11.736241,108.0,46.0,4.0,5.0,3,1990
210000,3.424057,80.0,10.0,2.0,3.0,3,1953
6000000,13.293569,115.0,38.0,2.0,2.0,2,1982
4000000,1.760091,72.0,25.0,1.0,2.0,2,2004
6000000,6.714577,110.0,30.0,1.0,4.0,4,1969
20000000,5.990572,112.0,24.0,3.0,1.0,5,1993
6500000,23.242452,99.0,15.0,1.0,3.0,3,2014
3705538,7.404329,112.0,13.0,1.0,3.0,5,1992
12000000,8.816951,91.0,19.0,1.0,8.0,1,1992
12000000,8.025118,106.0,12.0,1.0,2.0,3,2007
95000000,9.785895,118.0,14.0,1.0,4.0,2,2010
20000000,12.763976,107.0,17.0,2.0,4.0,3,2011
1752000,11.709777,110.0,19.0,1.0,2.0,1,1950
12000000,13.065315,107.0,17.0,1.0,3.0,3,2008
33000000,7.418574,105.0,14.0,1.0,3.0,3,2006
23000000,12.21459,101.0,16.0,2.0,2.0,5,2015
3000000,5.493697,139.0,29.0,2.0,2.0,3,1998
25000000,13.72021,87.0,27.0,1.0,3.0,3,1992
5500000,2.942711,123.0,9.0,2.0,1.0,3,2015
25000000,8.88057,107.0,23.0,1.0,3.0,1,2011
7000000,5.701278,90.0,17.0,1.0,6.0,4,2003
3000000,10.893224,87.0,18.0,2.0,1.0,2,2012
45000000,3.733574,103.0,12.0,2.0,6.0,3,1997
70000000,6.753746,116.0,19.0,1.0,2.0,2,2011
5000000,10.510468,90.0,15.0,1.0,3.0,4,2009
65000000,0.948759,95.0,64.0,1.0,1.0,2,2012
650000,7.814255,98.0,16.0,1.0,3.0,2,2010
72000000,11.211568,106.0,17.0,1.0,3.0,3,2002
18000000,7.521346,122.0,54.0,2.0,4.0,1,1989
12000000,12.159818,110.0,12.0,2.0,1.0,2,2012
28000000,7.954623,108.0,20.0,1.0,5.0,2,2016
30000000,2.899809,140.0,16.0,2.0,5.0,2,1997
68000000,10.97633,116.0,22.0,2.0,2.0,2,1997
30000000,21.946943,81.0,19.0,1.0,3.0,4,1995
15000000,15.553313,98.0,58.0,1.0,3.0,1,2015
10000000,6.370105,101.0,16.0,2.0,2.0,3,2000
10000000,17.602928,97.0,63.0,1.0,2.0,4,2015
65000000,19.083823,157.0,8.0,4.0,6.0,2,2007
25000000,8.338562,109.0,15.0,1.0,2.0,1,2009
800000,11.84696,93.0,19.0,1.0,1.0,1,1984
8000000,9.609879,103.0,11.0,3.0,6.0,4,2016
130000000,10.747642,100.0,15.0,2.0,3.0,3,2013
18000000,9.746725,105.0,15.0,1.0,3.0,2,2006
88000000,21.14796,105.0,29.0,1.0,2.0,2,2015
777000,8.152085,86.0,40.0,1.0,4.0,4,1971
42000000,8.371005,115.0,41.0,2.0,3.0,5,2002
2000000,3.3924,85.0,30.0,2.0,2.0,1,1994
12000000,4.726238,106.0,7.0,1.0,2.0,2,2014
10000000,7.176601,96.0,23.0,1.0,2.0,3,1990
36000000,9.244469,84.0,9.0,1.0,9.0,2,2011
15000000,11.239012,107.0,4.0,1.0,1.0,4,2011
850000,3.334942,107.0,16.0,2.0,1.0,1,2003
14000000,8.093442,106.0,9.0,1.0,1.0,3,2015
4798235,9.336568,107.0,16.0,1.0,4.0,2,2011
10000000,3.033797,98.0,16.0,7.0,2.0,3,2011
750000,0.201582,0.0,18.0,2.0,2.0,3,2014
4000000,5.099557,100.0,34.0,1.0,1.0,3,1997
20000000,10.038613,98.0,75.0,1.0,3.0,4,2009
90000000,11.605735,87.0,12.0,1.0,2.0,3,2003
500000,0.482527,157.0,22.0,2.0,17.0,5,2006
2500000,1.216497,84.0,16.0,1.0,6.0,1,2016
145000000,12.256689,102.0,15.0,2.0,1.0,2,2014
30000000,8.040589,138.0,20.0,7.0,1.0,3,1993
17500000,7.481125,110.0,11.0,1.0,1.0,3,2006
7000000,6.904831,91.0,25.0,1.0,4.0,4,1996
75000000,8.940007,129.0,20.0,2.0,4.0,2,2005
27220000,12.388833,105.0,29.0,1.0,1.0,3,2013
22000000,11.275132,105.0,18.0,1.0,9.0,4,2010
1200000,8.471302,81.0,14.0,2.0,1.0,5,1983
7000000,7.791952,98.0,15.0,1.0,3.0,4,1988
6000000,12.457908,108.0,118.0,2.0,1.0,2,1999
15000000,7.492658,140.0,25.0,1.0,3.0,1,2013
28000000,13.143061,130.0,16.0,4.0,1.0,3,2015
2000000,11.276024,108.0,53.0,1.0,5.0,1,2007
70000000,3.062626,101.0,24.0,2.0,3.0,4,1999
40000000,6.417385,101.0,11.0,1.0,2.0,2,2008
9100000,4.23908,183.0,9.0,1.0,3.0,2,2008
450000,2.333661,84.0,15.0,1.0,4.0,4,2006
10500000,4.668541,89.0,52.0,5.0,8.0,1,1990
4000000,11.609441,102.0,10.0,1.0,2.0,3,2003
1000000,2.301183,96.0,21.0,1.0,3.0,3,1975
28000000,17.26045,117.0,34.0,1.0,3.0,3,2010
80000000,7.309903,136.0,12.0,2.0,1.0,2,2009
1300000,6.636872,105.0,13.0,1.0,3.0,3,1951
10000000,0.524432,127.0,27.0,1.0,2.0,2,2003
25000000,1.466461,87.0,15.0,2.0,1.0,1,1999
9000000,6.484495,114.0,20.0,1.0,2.0,3,1986
17000000,7.19669,95.0,3.0,1.0,1.0,4,2009
44500000,14.238234,120.0,16.0,1.0,4.0,3,2012
30000000,8.032638,91.0,29.0,1.0,4.0,1,1991
35000000,8.155604,112.0,16.0,1.0,1.0,3,2016
31000000,5.418428,103.0,23.0,1.0,3.0,2,1990
1250000,8.731331,101.0,13.0,1.0,1.0,2,1945
45000000,6.84109,109.0,13.0,1.0,1.0,4,2005
12000000,6.140116,89.0,48.0,1.0,5.0,4,2008
10000000,6.638116,89.0,20.0,1.0,1.0,1,1995
16000000,9.101896,89.0,11.0,2.0,4.0,5,2001
150000000,1.456541,107.0,6.0,1.0,5.0,2,2009
2000000,0.570293,90.0,23.0,2.0,1.0,3,2005
50000000,6.496271,88.0,5.0,1.0,3.0,1,2004
70000000,16.316318,92.0,7.0,1.0,1.0,2,2014
20000000,13.591485,108.0,12.0,1.0,2.0,2,2009
4520000,3.372304,101.0,12.0,1.0,1.0,3,1983
6000000,7.217205,111.0,9.0,1.0,3.0,3,2014
11000000,12.293202,109.0,45.0,5.0,2.0,3,2015
40000000,13.256679,111.0,31.0,2.0,3.0,3,2017
50000000,17.126768,114.0,12.0,1.0,1.0,3,1992
15000000,3.550711,94.0,23.0,1.0,4.0,1,2000
73000000,11.604533,98.0,29.0,2.0,4.0,3,1998
14000000,8.30721,98.0,22.0,1.0,4.0,3,1993
50000000,9.930326,130.0,49.0,1.0,3.0,1,2003
19000000,10.187278,93.0,18.0,1.0,4.0,3,1999
30000000,11.589835,112.0,15.0,1.0,9.0,1,2009
18000000,6.303384,122.0,17.0,1.0,7.0,2,1984
891000,0.179246,89.0,6.0,2.0,3.0,1,1998
43000000,10.536255,136.0,22.0,1.0,9.0,3,2000
55000000,15.178338,134.0,52.0,1.0,1.0,1,1995
662141,1.233446,98.0,9.0,1.0,3.0,2,1943
400000,0.218588,97.0,110.0,2.0,4.0,2,2001
85000000,14.048694,93.0,89.0,1.0,3.0,2,1997
45000000,13.53003,105.0,15.0,2.0,1.0,2,2008
1800000,6.694959,104.0,70.0,1.0,4.0,2,1971
260000000,39.186819,149.0,14.0,1.0,4.0,2,2017
15000000,9.895652,107.0,15.0,1.0,3.0,3,2008
3000000,1.412333,73.0,14.0,1.0,4.0,3,2010
30000000,7.554848,84.0,19.0,1.0,2.0,3,1999
7000000,11.789813,119.0,15.0,1.0,5.0,3,1979
30000000,4.655727,101.0,18.0,1.0,2.0,2,1993
25000000,6.851628,92.0,55.0,1.0,4.0,2,1999
17000000,5.772293,101.0,8.0,1.0,1.0,2,1989
4600000,4.342418,186.0,6.0,1.0,2.0,4,2013
4500000,7.522655,86.0,14.0,1.0,2.0,1,1986
110000000,17.159576,119.0,30.0,1.0,3.0,3,1997
61000000,41.225769,132.0,78.0,1.0,3.0,3,2015
1000000,7.666558,129.0,3.0,1.0,3.0,2,2011
20000000,17.136672,104.0,26.0,1.0,3.0,5,1993
15000000,15.388875,100.0,25.0,1.0,2.0,2,2011
500000,0.321515,95.0,18.0,1.0,4.0,2,1997
7000000,7.738924,106.0,26.0,2.0,3.0,2,2005
1400000,12.06308,138.0,35.0,1.0,2.0,1,1950
5000000,1.564774,100.0,15.0,2.0,2.0,1,1998
20000000,9.502332,98.0,15.0,1.0,1.0,2,2004
22000000,13.966833,121.0,31.0,1.0,8.0,2,1977
18000000,4.19356,141.0,19.0,1.0,2.0,1,2013
12500000,9.543004,100.0,31.0,1.0,8.0,2,2014
20000000,1.057387,93.0,13.0,1.0,2.0,1,1982
4000000,12.410427,136.0,25.0,1.0,1.0,2,1959
14000000,5.355452,126.0,13.0,1.0,2.0,4,1981
360000,1.345165,113.0,20.0,1.0,2.0,2,1967
25000000,10.932786,94.0,14.0,1.0,1.0,1,1985
48000000,8.781588,93.0,10.0,4.0,1.0,3,2000
16400000,19.905716,129.0,40.0,1.0,4.0,3,1989
18000000,11.720358,127.0,15.0,1.0,5.0,3,1994
700000,9.47666,171.0,46.0,1.0,5.0,3,1994
2000000,8.367858,89.0,28.0,1.0,2.0,2,2012
20000000,11.11946,116.0,12.0,2.0,1.0,4,2010
15000000,12.860385,101.0,6.0,3.0,3.0,1,1996
10000000,7.676017,100.0,16.0,1.0,5.0,1,2010
185000000,123.167259,152.0,16.0,3.0,1.0,3,2008
28000000,5.715737,90.0,16.0,1.0,3.0,3,2001
20000000,9.059459,94.0,77.0,1.0,7.0,1,1989
1900000,1.075939,104.0,8.0,2.0,2.0,2,2000
25000000,8.383246,120.0,16.0,1.0,2.0,2,2015
8500000,10.990614,107.0,26.0,2.0,4.0,2,2014
180000,7.523517,89.0,11.0,1.0,2.0,2,1997
16000000,3.859495,127.0,16.0,2.0,4.0,6,1995
11000000,7.715908,81.0,73.0,3.0,2.0,4,2001
2153912,0.334881,83.0,17.0,6.0,2.0,3,2014
60000000,11.131917,124.0,33.0,1.0,2.0,1,1997
3000000,6.09018,133.0,69.0,2.0,2.0,2,1948
41000000,12.929653,105.0,9.0,2.0,2.0,5,2009
7000000,12.61469,98.0,8.0,2.0,2.0,3,1996
20000000,0.69162,98.0,33.0,1.0,5.0,4,1981
5000000,5.147819,89.0,32.0,2.0,1.0,2,1996
521873,1.668794,127.0,10.0,1.0,3.0,3,2016
34000000,228.032744,113.0,98.0,1.0,4.0,2,2017
50000000,10.563152,124.0,15.0,2.0,3.0,2,2011
20000000,18.006896,105.0,28.0,1.0,2.0,3,2007
3837625,0.749665,103.0,18.0,1.0,3.0,3,2010
42000000,10.174298,100.0,10.0,1.0,2.0,3,2011
20000000,4.444724,101.0,27.0,1.0,2.0,4,2003
120000000,5.458387,121.0,16.0,2.0,3.0,1,2010
45000000,9.875573,95.0,10.0,1.0,3.0,2,2005
15000000,7.390012,130.0,19.0,2.0,2.0,3,1986
1000000,6.107378,87.0,15.0,1.0,1.0,3,2014
50000000,6.572049,99.0,16.0,2.0,3.0,4,2005
5000000,1.629796,80.0,38.0,1.0,2.0,2,1982
152000000,146.161786,140.0,19.0,1.0,3.0,1,2017
120000000,10.246549,102.0,84.0,2.0,5.0,2,2014
3347850,2.906503,108.0,22.0,1.0,1.0,2,2011
4437508,3.779077,155.0,48.0,1.0,4.0,3,2012
94000000,5.310558,116.0,21.0,1.0,4.0,1,2001
40000000,9.832342,93.0,9.0,1.0,2.0,3,2011
120000000,17.246484,100.0,12.0,1.0,1.0,1,2015
45000000,7.288046,95.0,15.0,2.0,1.0,2,2003
14000000,6.892056,91.0,98.0,2.0,2.0,4,1991
8000000,11.23915,92.0,17.0,1.0,2.0,3,2009
10000000,6.452069,102.0,9.0,2.0,6.0,2,2011
5200000,1.891138,163.0,36.0,3.0,2.0,2,1998
4000000,10.067238,90.0,53.0,1.0,1.0,3,2017
3900000,0.562097,199.0,12.0,2.0,2.0,3,2000
5500000,1.250293,140.0,26.0,1.0,3.0,4,2013
25000000,6.710598,105.0,11.0,1.0,3.0,0,2010
40000000,13.043999,118.0,18.0,1.0,4.0,3,1990
63000000,8.863776,127.0,8.0,2.0,1.0,5,1993
5000000,5.957998,121.0,17.0,1.0,2.0,3,2016
2000000,2.812182,90.0,30.0,1.0,7.0,1,2004
38000000,6.456233,98.0,29.0,1.0,3.0,1,1997
15000000,1.158196,111.0,18.0,2.0,2.0,4,2001
30000000,9.128905,105.0,17.0,1.0,6.0,4,1997
48000000,7.198455,104.0,17.0,1.0,3.0,3,1993
50000000,17.887943,141.0,45.0,1.0,2.0,6,2014
6400000,19.293562,108.0,42.0,1.0,5.0,4,1984
750000,1.500013,98.0,12.0,1.0,2.0,3,2005
9000000,9.202416,84.0,10.0,1.0,2.0,2,2011
5000000,4.206655,119.0,23.0,4.0,4.0,3,2015
1000000,2.709403,109.0,18.0,1.0,1.0,2,1993
17820000,9.482248,94.0,32.0,3.0,1.0,1,2004
50000000,12.508518,99.0,19.0,1.0,2.0,2,1994
14000000,0.964715,94.0,50.0,1.0,3.0,2,2007
1300000,0.044561,135.0,25.0,1.0,2.0,4,2006
130000000,14.89499,120.0,7.0,1.0,3.0,2,2012
290000,0.140491,85.0,36.0,1.0,3.0,3,1928
190000000,27.275687,137.0,57.0,1.0,2.0,3,2015
2600000,13.233262,93.0,28.0,1.0,4.0,3,1974
250000,8.168456,68.0,17.0,2.0,2.0,3,1921
3000000,8.851646,161.0,17.0,1.0,2.0,4,1957
16000000,7.108555,87.0,21.0,1.0,3.0,3,2009
13400000,1.223071,100.0,16.0,1.0,1.0,4,2010
65000000,17.015539,104.0,15.0,1.0,3.0,3,1995
35000000,7.79014,122.0,19.0,1.0,3.0,1,2001
5000000,14.970485,97.0,7.0,1.0,3.0,3,2013
1070000,0.170074,95.0,42.0,1.0,3.0,4,1998
3000000,2.850011,89.0,20.0,2.0,8.0,2,2002
35000000,6.966505,110.0,18.0,1.0,4.0,2,2014
14600000,12.989627,101.0,26.0,1.0,6.0,3,1993
5000000,12.158424,110.0,58.0,1.0,2.0,1,2000
18000000,6.971611,80.0,16.0,1.0,3.0,2,2010
6000000,11.186981,105.0,15.0,1.0,1.0,2,2016
97000000,54.581997,137.0,7.0,1.0,1.0,2,2017
11000000,10.3919,118.0,12.0,1.0,3.0,3,1993
11000000,23.37742,117.0,13.0,3.0,4.0,3,1979
2500000,11.591462,119.0,13.0,1.0,3.0,2,1963
5000000,5.830675,99.0,25.0,2.0,3.0,4,1981
2159280,8.651053,80.0,14.0,1.0,2.0,4,2013
7000000,5.552946,112.0,18.0,1.0,1.0,1,1995
10831173,4.480723,106.0,16.0,3.0,1.0,4,2011
13360000,8.717661,118.0,6.0,9.0,6.0,1,2015
55000000,13.776068,134.0,14.0,1.0,7.0,2,2013
20000000,9.188583,113.0,9.0,1.0,3.0,3,2015
5000000,6.370495,113.0,19.0,1.0,2.0,2,1983
3500000,0.556435,90.0,12.0,3.0,3.0,1,1998
30000000,10.596719,107.0,50.0,1.0,8.0,4,2005
3800000,8.070589,126.0,23.0,2.0,4.0,2,1948
14000000,5.113573,149.0,36.0,1.0,2.0,2,2011
4000000,7.274237,115.0,7.0,1.0,3.0,3,2008
135000000,11.72545,134.0,8.0,1.0,3.0,1,2006
200000000,20.818907,109.0,16.0,1.0,2.0,2,2003
2700000,0.677253,117.0,21.0,2.0,3.0,3,1994
48000000,8.338222,147.0,19.0,2.0,5.0,3,2000
2000000,1.188935,89.0,30.0,1.0,4.0,3,2003
120000000,14.072511,142.0,8.0,2.0,3.0,1,2002
500000,2.317528,88.0,49.0,1.0,7.0,3,2007
4000000,5.681582,111.0,11.0,2.0,1.0,2,1986
1500000,8.708789,86.0,9.0,1.0,2.0,1,2007
19000000,2.824367,188.0,26.0,1.0,1.0,1,1964
6000000,4.619068,105.0,17.0,1.0,2.0,5,1990
50000000,9.645801,120.0,18.0,2.0,1.0,4,2002
70000000,8.919469,116.0,19.0,2.0,1.0,2,1999
6500000,0.877477,102.0,28.0,1.0,3.0,5,2011
1250000,12.74564,129.0,12.0,1.0,4.0,3,1972
3000000,8.733192,97.0,24.0,1.0,3.0,2,1988
60000000,7.094624,101.0,25.0,1.0,3.0,3,2008
30000000,11.552956,109.0,31.0,1.0,3.0,4,2005
200000000,13.67812,106.0,11.0,2.0,2.0,2,2008
130000000,12.204174,105.0,29.0,1.0,2.0,1,2014
15000000,9.747452,89.0,15.0,1.0,2.0,1,2009
9000000,1.494688,97.0,10.0,1.0,3.0,4,2005
1500000,6.939994,97.0,14.0,2.0,1.0,3,1989
4000000,3.92107,103.0,9.0,1.0,2.0,2,2008
17000000,12.494394,170.0,1.0,1.0,3.0,1,1964
3230939,1.937874,162.0,1.0,2.0,2.0,1,2009
14000000,12.243528,97.0,17.0,3.0,4.0,4,2000
9000000,9.51953,104.0,30.0,2.0,1.0,4,2016
16000000,6.493474,91.0,16.0,1.0,1.0,4,2007
170000000,21.259,125.0,27.0,1.0,5.0,2,2010
1549000,4.331811,107.0,14.0,4.0,3.0,2,2005
12000000,8.960713,93.0,15.0,2.0,1.0,1,2012
6500000,2.12989,104.0,12.0,1.0,1.0,2,1981
170000000,18.717704,136.0,8.0,1.0,2.0,2,2014
50000000,9.35239,101.0,34.0,1.0,4.0,2,2005
3700000,13.505066,98.0,44.0,1.0,4.0,3,2006
19000000,14.9837,96.0,14.0,1.0,2.0,2,2016
125000000,33.704935,110.0,21.0,1.0,4.0,2,2017
108000000,25.62993,141.0,17.0,1.0,5.0,1,2015
10000000,7.873018,137.0,10.0,1.0,1.0,2,1970
8000000,2.404818,115.0,18.0,4.0,7.0,3,1991
37000000,16.414239,108.0,27.0,1.0,1.0,2,1989
17000000,6.815147,171.0,19.0,1.0,4.0,3,1988
80000000,13.666488,90.0,29.0,3.0,4.0,2,2003
5000000,3.007842,98.0,18.0,3.0,3.0,2,2003
19800000,11.313659,103.0,37.0,1.0,1.0,5,2014
8000000,3.851653,112.0,16.0,1.0,2.0,3,2014
40000000,16.478036,138.0,23.0,2.0,1.0,3,2013
210000000,0.867943,104.0,35.0,1.0,3.0,3,2006
30000000,7.857666,115.0,21.0,1.0,7.0,1,2013
12000000,5.799628,119.0,20.0,1.0,3.0,3,2003
15000000,11.440948,100.0,9.0,1.0,5.0,3,2011
7000000,4.955317,103.0,30.0,1.0,1.0,2,2015
2300000,2.01799,107.0,9.0,1.0,3.0,3,1951
20000000,11.069679,133.0,15.0,1.0,1.0,1,2008
5000000,0.889745,110.0,110.0,1.0,4.0,2,1987
15000000,9.288013,99.0,34.0,1.0,3.0,4,2009
700000,8.407369,94.0,16.0,5.0,6.0,3,1958
35000000,8.33756,123.0,42.0,1.0,3.0,3,2008
7000000,7.523098,93.0,15.0,3.0,3.0,1,2005
105000000,13.99377,109.0,47.0,1.0,2.0,2,2008
80000000,11.35779,110.0,15.0,2.0,1.0,1,2008
3000000,0.702712,99.0,13.0,1.0,3.0,3,2010
48000000,6.74468,101.0,51.0,1.0,6.0,3,2010
30000000,12.840798,131.0,16.0,1.0,2.0,2,1985
180000000,11.481379,113.0,10.0,3.0,6.0,2,2007
6500000,4.136105,96.0,15.0,1.0,5.0,3,2004
56000000,5.374563,214.0,10.0,2.0,8.0,2,2003
12000000,16.415498,154.0,28.0,1.0,4.0,2,1997
12000000,9.363482,106.0,14.0,1.0,1.0,2,2015
5000000,8.898523,84.0,7.0,1.0,2.0,1,2014
31115000,8.591238,248.0,8.0,1.0,1.0,2,1963
65000000,9.170332,145.0,18.0,1.0,1.0,3,2008
28000000,9.765123,127.0,9.0,2.0,1.0,2,1981
26400000,4.330396,155.0,19.0,3.0,4.0,3,2010
25000000,11.872997,93.0,15.0,1.0,5.0,1,2006
28000000,8.808328,137.0,20.0,1.0,1.0,1,2013
65000000,13.268484,159.0,15.0,1.0,1.0,1,1999
175000000,9.156877,96.0,15.0,1.0,3.0,3,2007
83000000,6.053595,90.0,8.0,1.0,2.0,1,2000
40000000,10.395472,117.0,19.0,1.0,3.0,1,2014
28000000,13.162168,123.0,9.0,1.0,2.0,2,1998
10000000,5.402262,105.0,12.0,2.0,6.0,4,1991
20000000,12.392754,115.0,17.0,1.0,4.0,3,2008
1500000,6.241185,101.0,27.0,1.0,2.0,4,1984
30000000,5.188399,106.0,18.0,2.0,4.0,3,1995
1000000,2.392367,78.0,31.0,1.0,2.0,3,2006
40000000,7.15606,98.0,15.0,1.0,2.0,4,2004
1500000,4.173231,111.0,12.0,1.0,1.0,2,2005
25000000,1.862215,117.0,19.0,1.0,4.0,3,2009
5000000,8.966129,92.0,9.0,1.0,1.0,2,2016
35000000,10.08043,100.0,7.0,1.0,1.0,2,2008
6500000,9.3806,105.0,21.0,1.0,2.0,2,1980
40000000,12.330249,138.0,24.0,1.0,2.0,3,1992
855000,1.121417,96.0,15.0,2.0,4.0,2,1943
42000000,14.007329,104.0,14.0,1.0,4.0,1,1990
4000000,0.737602,90.0,13.0,1.0,3.0,2,1995
500000,1.946823,87.0,8.0,2.0,1.0,6,2012
24000000,9.526781,126.0,17.0,1.0,4.0,3,1999
28000000,8.318954,114.0,15.0,3.0,2.0,4,1988
9000000,15.236541,111.0,46.0,1.0,6.0,3,1985
58000000,9.508061,127.0,17.0,1.0,1.0,4,1984
85000000,8.338675,115.0,12.0,1.0,3.0,3,2012
